Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time emo
-0.0879207 0.2241261 -0.1950955 -0.2617839 -0.2911448 -0.4424486 -0.1396239 -0.3565761 0.05519301 -0.4693062 0.06232662 -0.3654824 0.04394704 -0.3564226 -0.3428091 -0.3159446 -0.5427153 0.07310971 -0.302456 0.2422297 -0.1823905 0.01412272 -0.1293884 0.5977595 0.13817 0.4295673 -0.07700512 0.0266065 0.1803245 0.1735311 0.5090742 0.1345833 0.3935866 0.0537725 0.3263333 0.2260504 0.4363468 0.1094997 0.1490816 0.04990586 -178.3567 1
-0.1006301 0.1490725 -0.2054846 -0.2892505 -0.2827379 -0.4305457 -0.1327953 -0.3840786 0.06697006 -0.4779033 0.08985596 -0.4453445 0.04118143 -0.3388294 -0.3414279 -0.3008145 -0.5448799 0.08012091 -0.3423648 0.2568756 -0.1774576 0.01685724 -0.156007 0.6456034 0.06082082 0.4647914 -0.0644521 0.01571015 0.2348289 0.1394153 0.5515398 0.1144797 0.4240941 0.05325563 0.3732397 0.2170489 0.4746805 0.1008471 0.1911348 0.05964897 -176.3527 1
-0.04819461 0.1084563 -0.2201661 -0.3076067 -0.2744207 -0.423466 -0.1177175 -0.4001005 0.04751922 -0.507423 0.1270984 -0.4954475 0.02066848 -0.3326744 -0.3392499 -0.2883051 -0.5492874 0.08106051 -0.3806428 0.2599597 -0.177929 0.01215966 -0.180702 0.6795781 -0.003812258 0.489186 -0.05571156 -0.001587996 0.2763068 0.1042644 0.5919181 0.1030911 0.4562257 0.05001195 0.4225905 0.206822 0.5053906 0.08506411 0.2320739 0.06496251 -174.3487 1
-0.03758239 0.07074097 -0.2335674 -0.3055216 -0.2684485 -0.419836 -0.1030221 -0.411917 0.005660521 -0.5413712 0.155922 -0.498215 -0.02312179 -0.3213187 -0.3360394 -0.2771364 -0.5500908 0.07506315 -0.4209626 0.248161 -0.1771715 0.005292603 -0.1960465 0.6920561 -0.04250578 0.4901339 -0.04399484 -0.009140479 0.3071775 0.07617976 0.6163614 0.09793571 0.4717575 0.06118089 0.4700426 0.2097979 0.524425 0.07330392 0.2737125 0.08143606 -172.3447 1
-0.111327 0.009847297 -0.2458317 -0.2935523 -0.2595525 -0.4179813 -0.1026754 -0.4188183 -0.03828413 -0.5671187 0.1620357 -0.458261 -0.09133356 -0.2961299 -0.3324092 -0.2604441 -0.549934 0.0646956 -0.4470307 0.2093568 -0.1711869 0.003372959 -0.2005715 0.6829951 -0.05183458 0.4940192 -0.03541447 -0.002487805 0.3296611 0.06855357 0.6377168 0.1038886 0.4841228 0.09180768 0.4985785 0.2293181 0.5442939 0.07352906 0.2998467 0.1133524 -170.3407 1
-0.1055805 -0.003211915 -0.2531334 -0.2981299 -0.2527857 -0.4242833 -0.1283269 -0.4196835 -0.0862617 -0.581221 0.1371468 -0.4092073 -0.1783244 -0.2812553 -0.3274598 -0.2427338 -0.549478 0.05748678 -0.4463455 0.1367874 -0.158796 0.009802782 -0.2019205 0.6508016 -0.04658736 0.484118 -0.02747696 0.006604822 0.3341367 0.07433867 0.6271785 0.1168964 0.4701999 0.1240599 0.5272385 0.2536971 0.5315762 0.09176223 0.3299116 0.1567202 -168.3367 1
-0.1040962 0.009146042 -0.2518203 -0.3162335 -0.238006 -0.4258336 -0.1546742 -0.4085582 -0.142846 -0.5733433 0.09821649 -0.3724321 -0.2607535 -0.2730369 -0.3170385 -0.2237044 -0.5538409 0.05273807 -0.427569 0.04826801 -0.1461354 0.02181501 -0.2017251 0.6021198 -0.03476593 0.4542216 -0.02456377 0.01596694 0.3223626 0.08486741 0.6215422 0.1343138 0.4674542 0.1530516 0.5292977 0.2714401 0.5242704 0.1116494 0.3352914 0.1941117 -166.3327 1
-0.09886679 0.05478773 -0.2434697 -0.3299593 -0.218631 -0.4241525 -0.1610739 -0.3828046 -0.2041069 -0.5554358 0.04671141 -0.3576901 -0.326481 -0.2561 -0.2980668 -0.2086936 -0.5561584 0.05125253 -0.411776 -0.03774225 -0.1333578 0.03651106 -0.2055236 0.5452657 -0.02443071 0.4171422 -0.02453328 0.02103581 0.3011107 0.09676007 0.6050104 0.151102 0.4556449 0.1795452 0.526383 0.2851451 0.5100423 0.1179306 0.3336343 0.2157111 -164.3287 1
-0.09475823 0.1033407 -0.2361527 -0.3188565 -0.1868755 -0.4219146 -0.1451806 -0.3474093 -0.2499478 -0.5263215 -0.009509246 -0.3541492 -0.3555168 -0.2431718 -0.2702369 -0.1945899 -0.5448728 0.04924684 -0.4058656 -0.1104739 -0.1209675 0.04973154 -0.2128734 0.4903162 -0.01787411 0.3953808 -0.02942829 0.02241977 0.2842694 0.1093543 0.5882938 0.1584324 0.4460365 0.1986356 0.5098786 0.2878831 0.5009543 0.1091306 0.3207695 0.2210961 -162.3246 1
-0.1095363 0.1279816 -0.2307764 -0.2748647 -0.1479668 -0.4216249 -0.1157453 -0.3126459 -0.2702217 -0.4854485 -0.05632084 -0.3493596 -0.3426012 -0.2309875 -0.2347613 -0.17569 -0.5248281 0.04577601 -0.3945277 -0.1541501 -0.1156191 0.06058861 -0.2135029 0.4481114 -0.0005829579 0.3778065 -0.04130617 0.01972995 0.2716763 0.1156514 0.5661748 0.1493387 0.4323778 0.2000174 0.4941829 0.2770116 0.4821906 0.08623382 0.3080649 0.2060623 -160.3206 1
