Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time emo
0.144427 0.1527448 -0.0476872 -0.1660545 -0.1164851 -0.1461944 -0.05409728 -0.1327195 -0.1077237 -0.1934893 0.01088487 -0.1451474 -0.07098982 -0.07888626 -0.03419198 0.006308281 -0.2468175 0.1064256 -0.02103401 0.02456632 -0.1008751 0.06618467 -0.08319508 0.2817238 0.09848444 0.1948416 -0.1508072 -0.02471069 0.007750738 0.1201517 0.2518848 0.02294231 0.1620478 -0.07721334 -0.03396742 0.09076049 0.2329535 -0.05831468 -0.05812694 -0.01186275 -178.3567 1
0.1176808 0.09497499 -0.04656833 -0.1774813 -0.1170335 -0.1379681 -0.05558888 -0.1384873 -0.09104198 -0.18407 0.03151076 -0.1626715 -0.05062677 -0.08339991 -0.04032597 -0.002711944 -0.2507414 0.1089341 -0.03304658 0.04793303 -0.1092197 0.06496935 -0.09770291 0.3248744 0.05187472 0.2295078 -0.1428842 -0.03970674 0.04506128 0.09833556 0.2903022 0.001012863 0.1925854 -0.08696665 -0.004633351 0.07094522 0.2529344 -0.07900061 -0.03765373 -0.02102049 -176.3527 1
0.1441781 0.05954378 -0.03718651 -0.1794039 -0.1154277 -0.1332369 -0.05548507 -0.1322591 -0.09458092 -0.1849023 0.0554851 -0.1646264 -0.03715319 -0.09857706 -0.05002517 -0.01169533 -0.25508 0.1058512 -0.04579722 0.06901477 -0.120266 0.05554556 -0.1102458 0.352811 0.01003724 0.2534464 -0.1389202 -0.05911096 0.06832094 0.07575107 0.3227958 -0.01480946 0.2291486 -0.09990712 0.02334505 0.05172869 0.2611646 -0.1021277 -0.01971129 -0.02875312 -174.3487 1
0.1436376 0.02952272 -0.01896099 -0.1587438 -0.114616 -0.1290261 -0.05192634 -0.1182822 -0.1138431 -0.1934734 0.07641214 -0.1536039 -0.04520019 -0.109974 -0.06076334 -0.02113684 -0.257815 0.09617429 -0.06559197 0.08160658 -0.1329358 0.04011555 -0.1160153 0.3664679 -0.01465436 0.2682758 -0.1338562 -0.07176546 0.08287141 0.05795085 0.3413508 -0.02419542 0.2581115 -0.1027504 0.05143711 0.04480766 0.2607093 -0.1202559 0.001016708 -0.02853105 -172.3447 1
0.0612796 -0.0236301 -0.006842191 -0.1281296 -0.109682 -0.1250664 -0.05175743 -0.1100875 -0.1384039 -0.2070883 0.08567633 -0.1397061 -0.07435317 -0.1068653 -0.06850509 -0.02382671 -0.2585109 0.08555945 -0.08439218 0.08486365 -0.1427902 0.02642097 -0.1159633 0.3752132 -0.02042677 0.2823316 -0.1268899 -0.07215419 0.09724893 0.05221394 0.3649924 -0.02874117 0.2906286 -0.0898713 0.07693534 0.05040296 0.2743379 -0.1272036 0.01767582 -0.01729115 -170.3407 1
0.04500926 -0.02753379 -0.001091794 -0.1083527 -0.1044158 -0.1305688 -0.07028152 -0.1023895 -0.1660236 -0.2198277 0.07674584 -0.1283222 -0.1177789 -0.1098958 -0.07274473 -0.02248785 -0.2580298 0.08281799 -0.08598273 0.07077932 -0.1440103 0.01969869 -0.1158763 0.3731005 -0.01325842 0.2816771 -0.1132361 -0.06735957 0.0998937 0.05252222 0.3652429 -0.04007649 0.2901656 -0.07280265 0.1153986 0.05611368 0.2669736 -0.1176269 0.04941146 0.001643996 -168.3367 1
0.02857672 -0.01959885 -0.0008065475 -0.1072564 -0.08923829 -0.1363072 -0.09143039 -0.09710573 -0.1979823 -0.2160234 0.05375187 -0.1181225 -0.1577812 -0.1106873 -0.06961205 -0.01512648 -0.2598309 0.08443096 -0.07413094 0.04057692 -0.1376059 0.02270004 -0.1145509 0.3614576 -0.001988411 0.2793097 -0.09817952 -0.0583335 0.09539932 0.05480904 0.3777508 -0.05614784 0.2926795 -0.05361931 0.1372978 0.05595223 0.2721177 -0.1064245 0.06392389 0.01450111 -166.3327 1
0.0210685 0.0008860835 -0.005060873 -0.1174536 -0.06734782 -0.1440463 -0.1009302 -0.09291667 -0.2332428 -0.202856 0.01192507 -0.110605 -0.1892955 -0.09753073 -0.05839548 -0.006060142 -0.2597296 0.08886679 -0.06355383 -0.006440833 -0.1240917 0.03446836 -0.1143969 0.3412737 0.009271687 0.2747672 -0.08183888 -0.04880781 0.08605766 0.0581989 0.3822438 -0.06353544 0.2796598 -0.02987715 0.1579751 0.05896476 0.2704451 -0.1030609 0.07282747 0.01799134 -164.3287 1
0.01976315 0.01986751 -0.01396496 -0.115892 -0.03494898 -0.1516403 -0.09503797 -0.08861753 -0.2527339 -0.1845798 -0.03988231 -0.1036211 -0.1959633 -0.08743508 -0.03974066 0.005114276 -0.2491742 0.09213825 -0.06023509 -0.06177672 -0.1054533 0.04902481 -0.1177016 0.3151577 0.01797273 0.266376 -0.06854609 -0.04152212 0.08053539 0.0619549 0.3828411 -0.06340709 0.2601317 -0.00654116 0.1652979 0.05795386 0.2676966 -0.1061912 0.06838748 0.01544924 -162.3246 1
0.006954717 0.02205079 -0.03544076 -0.09151244 -0.002453577 -0.1564156 -0.07913317 -0.09174059 -0.2517338 -0.1609197 -0.09077436 -0.09945899 -0.1742972 -0.07910704 -0.01556414 0.01701147 -0.2311049 0.09308193 -0.05483714 -0.09798943 -0.08868986 0.06206183 -0.1174364 0.2904187 0.0360216 0.260893 -0.06065656 -0.03479934 0.07605661 0.06624333 0.3710078 -0.06923671 0.2314205 0.008721792 0.1733302 0.05495596 0.2513381 -0.1132509 0.0654577 0.00541415 -160.3206 1
