CP5 CP6 TP7 TP8 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time
0.7317229 2.236087 3.719398 2.24934 2.108088 1.102867 2.847446 2.782654 -1.093485 -0.7155507 0.6048735 0.7865907 -0.5373951 -1.129972 -1.928499 -140.2806
0.6971303 2.209105 3.720216 2.150011 1.999714 1.018727 2.384716 2.840707 -1.298053 -0.9415707 0.3349548 0.7805005 -0.6924443 -1.244757 -1.936857 -138.2766
0.5816687 2.145469 3.560101 2.072675 1.755565 0.9483421 1.832257 3.015778 -1.586967 -1.05038 0.01635463 0.796021 -0.8923556 -1.273771 -1.958766 -136.2726
0.4187978 2.038659 3.23672 1.967393 1.414822 0.8815225 1.365738 3.155414 -1.866889 -1.116066 -0.2652957 0.7949191 -1.094426 -1.269158 -1.963957 -134.2685
0.2944983 1.874779 2.848104 1.842099 1.072824 0.7903427 1.001073 3.139288 -2.097151 -1.287555 -0.5069767 0.7358691 -1.326545 -1.369921 -2.024835 -132.2645
0.2215542 1.675555 2.446257 1.688433 0.7510663 0.660619 0.6435137 3.011293 -2.312533 -1.485004 -0.7821375 0.6149524 -1.692564 -1.540679 -2.23488 -130.2605
0.1832992 1.467311 2.080543 1.489103 0.4496882 0.549198 0.2615699 2.810675 -2.601641 -1.650217 -1.110556 0.4525518 -2.182728 -1.723855 -2.565802 -128.2565
0.1795205 1.257433 1.799139 1.340361 0.1489399 0.5260106 -0.1171957 2.528195 -2.976195 -1.819276 -1.470876 0.2986329 -2.701484 -1.928735 -2.973678 -126.2525
0.2122661 1.081084 1.623559 1.310594 -0.07934158 0.5200734 -0.3994044 2.148194 -3.270756 -2.007793 -1.781295 0.1158765 -3.146073 -2.120763 -3.34373 -124.2485
0.2173412 0.9095082 1.433322 1.205163 -0.2845258 0.4294381 -0.6614949 1.684926 -3.570017 -2.222503 -2.134288 -0.133444 -3.470855 -2.305121 -3.672637 -122.2445
0.1917021 0.7650315 1.215068 1.154926 -0.4714991 0.3749324 -0.8670469 1.347337 -3.776159 -2.426014 -2.496041 -0.2640449 -3.72393 -2.475155 -3.922916 -120.2405
0.1906528 0.6608399 1.033159 1.101959 -0.6317319 0.3101086 -1.095844 1.06158 -3.945404 -2.551525 -2.834064 -0.349176 -3.974632 -2.598084 -4.143135 -118.2365
0.2635364 0.6028894 0.9530451 1.143884 -0.7230991 0.2679808 -1.309917 0.7809668 -4.0079 -2.610065 -3.100709 -0.4452083 -4.164478 -2.66705 -4.259922 -116.2325
0.3841512 0.5912675 0.9204744 1.181458 -0.7349904 0.2767406 -1.434508 0.555705 -3.986521 -2.60615 -3.262207 -0.5320161 -4.264621 -2.669701 -4.270397 -114.2285
0.4975694 0.5344312 0.8716834 1.24937 -0.7336608 0.2252019 -1.500382 0.2855411 -3.953067 -2.621897 -3.384388 -0.6844862 -4.279932 -2.673862 -4.222259 -112.2244
0.5778894 0.4833872 0.7810024 1.356221 -0.7374462 0.1770857 -1.572225 0.02395276 -3.940022 -2.658035 -3.501516 -0.8115833 -4.267157 -2.692046 -4.190677 -110.2204
0.5954465 0.4917185 0.6250386 1.471667 -0.7814445 0.1063182 -1.647524 -0.3132686 -3.939371 -2.707058 -3.649444 -0.9599389 -4.212524 -2.71962 -4.169523 -108.2164
0.528572 0.5366834 0.4372178 1.656494 -0.8728207 0.0699246 -1.652917 -0.6524426 -3.884781 -2.760132 -3.752873 -1.073957 -4.142223 -2.776534 -4.142089 -106.2124
0.4390315 0.6055645 0.2415509 1.729938 -0.9861709 -0.04549364 -1.658605 -1.062954 -3.785583 -2.696446 -3.766921 -1.263727 -4.048923 -2.718271 -4.100765 -104.2084
0.390905 0.6121343 0.0964599 1.653569 -1.082743 -0.2372292 -1.748987 -1.570478 -3.688156 -2.633802 -3.698384 -1.550166 -3.974656 -2.675456 -4.060325 -102.2044
0.3907576 0.5679674 0.003605475 1.509969 -1.145189 -0.4031453 -1.907718 -2.014886 -3.534259 -2.67684 -3.576024 -1.821658 -3.851119 -2.725842 -3.997357 -100.2004
0.4127464 0.5233501 -0.06953989 1.311269 -1.222697 -0.5692855 -2.139776 -2.362207 -3.335904 -2.669664 -3.473991 -2.092475 -3.681242 -2.767931 -3.924701 -98.1964
0.4458558 0.4999293 -0.1682719 1.115947 -1.366117 -0.7049506 -2.468045 -2.618218 -3.128185 -2.691389 -3.428514 -2.303119 -3.461311 -2.817272 -3.784828 -96.19238
0.4975311 0.4334983 -0.2352159 0.8192925 -1.521425 -0.8457553 -2.835776 -2.947884 -2.967664 -2.697875 -3.364614 -2.501793 -3.256261 -2.913809 -3.680598 -94.18838
0.5919595 0.3099807 -0.1890287 0.4970042 -1.614436 -1.003132 -3.273193 -3.400993 -2.759148 -2.634742 -3.250441 -2.72042 -3.118887 -3.02535 -3.650311 -92.18437
0.691177 0.1930112 -0.1208608 0.1196486 -1.682884 -1.155649 -3.872685 -3.888571 -2.553814 -2.531702 -3.170224 -2.945323 -3.082744 -3.089254 -3.680847 -90.18036
0.7466714 0.07858367 -0.1848137 -0.2225021 -1.844912 -1.046653 -4.641555 -4.043813 -2.476053 -2.618062 -3.235753 -2.897059 -3.147852 -3.327015 -3.736357 -88.17635
0.7777948 0.01848975 -0.3784082 -0.4929336 -2.004183 -1.01688 -5.364007 -4.139051 -2.379136 -2.401935 -3.381189 -2.893909 -3.29285 -3.291158 -3.735301 -86.17235
0.7505823 -0.03806387 -0.651526 -0.7303072 -2.15816 -0.9930968 -5.892436 -4.108781 -2.280053 -2.177898 -3.525698 -2.832546 -3.433453 -3.221789 -3.614637 -84.16833
0.6153928 -0.09115332 -0.9823819 -0.9709488 -2.313913 -1.024951 -6.09937 -4.053021 -2.175709 -1.981489 -3.641145 -2.769421 -3.493659 -3.067242 -3.327131 -82.16433
0.4196162 -0.1474885 -1.31232 -1.088668 -2.439809 -1.044281 -6.032258 -3.99239 -2.103472 -1.894139 -3.686723 -2.712606 -3.475006 -2.968566 -2.972239 -80.16032
0.2296793 -0.1146045 -1.506859 -1.117275 -2.483999 -0.9977099 -5.824937 -3.941297 -1.987773 -1.765388 -3.657434 -2.652498 -3.382462 -2.833486 -2.638461 -78.15631
0.01598229 0.02981583 -1.606311 -0.9550632 -2.467978 -0.8459866 -5.636241 -3.895857 -1.855347 -1.573353 -3.546458 -2.550981 -3.231645 -2.675815 -2.395073 -76.15231
