PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp PO3_lat PO7_lat PO9_lat O1_lat O2_lat Oz_lat PO4_lat PO8_lat PO10_lat ROI_GA_lat emotion ID Trial
-32.16547 -6.967484 -28.12025 -25.99169 4.283323 -9.259571 5.7401 16.41625 7.928681 -7.570678 124.2485 108.2164 124.2485 124.2485 124.2485 124.2485 124.2485 124.2485 124.2485 122.4672 1 1 92
7.132658 4.622677 8.716724 -3.561208 -14.09977 12.79065 -42.48452 -25.903 -33.66452 -9.605591 124.2485 124.2485 124.2485 124.2485 108.2164 124.2485 108.2164 108.2164 108.2164 117.1231 1 1 94
-6.367284 4.262042 11.91601 16.09927 -6.840086 3.313893 -3.04572 -7.774618 5.916609 1.942236 122.2445 118.2365 124.2485 124.2485 108.2164 120.2405 108.2164 108.2164 108.2164 115.7871 1 1 96
-6.152768 -0.1305591 -0.8614994 -8.487998 -8.194039 1.335822 -21.74522 -11.44847 -16.29726 -7.997999 108.2164 124.2485 124.2485 124.2485 110.2204 108.2164 108.2164 108.2164 108.2164 113.7831 1 1 101
-6.918912 7.9699 -5.990924 0.9577587 6.511642 -1.680555 8.968732 0.5134222 -0.6157997 1.079474 108.2164 124.2485 120.2405 124.2485 120.2405 118.2365 120.2405 120.2405 124.2485 120.0178 1 1 105
-19.17895 -18.98385 -16.08862 -24.50179 -2.028969 -5.55912 -4.234495 -12.65501 -8.809414 -12.44892 124.2485 116.2325 116.2325 116.2325 108.2164 108.2164 108.2164 124.2485 108.2164 114.4511 1 1 107
-3.112779 5.5777 8.631181 7.476254 -19.86979 -0.5935377 -28.31868 -21.90679 -29.7155 -9.092438 124.2485 108.2164 116.2325 118.2365 108.2164 108.2164 124.2485 108.2164 124.2485 115.5645 1 1 112
11.70342 -9.660908 -3.435182 -9.306791 -9.788724 -21.42288 4.783566 -8.012226 11.38694 -3.75031 124.2485 124.2485 124.2485 124.2485 114.2285 108.2164 124.2485 108.2164 116.2325 118.6818 1 1 113
5.728194 4.487008 9.835091 7.237561 -6.424632 3.728209 -11.86622 -13.33445 -16.01363 -1.846985 124.2485 122.2445 124.2485 124.2485 112.2244 124.2485 124.2485 124.2485 108.2164 120.9085 1 1 118
16.3572 7.031156 2.640755 11.40204 27.25043 20.36415 36.63962 26.15464 11.98097 17.75788 124.2485 110.2204 124.2485 120.2405 108.2164 112.2244 124.2485 108.2164 108.2164 115.5645 1 1 120
13.43747 -1.161757 -7.355042 3.524906 14.80019 38.2588 25.20048 14.70259 7.766858 12.1305 108.2164 124.2485 124.2485 120.2405 124.2485 114.2285 110.2204 124.2485 108.2164 117.5685 1 1 122
-7.218275 -4.826567 -3.63169 -9.882543 10.37033 2.689909 -1.306416 15.44149 -9.080521 -0.8271416 108.2164 108.2164 108.2164 116.2325 110.2204 114.2285 108.2164 112.2244 124.2485 112.2244 1 1 130
-15.76075 -3.058744 -16.74866 -18.70802 -9.903188 -9.956704 -15.07885 -10.46621 -3.396936 -11.45312 108.2164 124.2485 108.2164 108.2164 122.2445 124.2485 124.2485 124.2485 108.2164 116.9005 1 1 134
-7.72695 -1.415712 -13.81197 -1.125456 -7.821484 8.813614 -3.343328 -6.037584 -11.05346 -4.835814 108.2164 114.2285 108.2164 108.2164 124.2485 110.2204 122.2445 122.2445 124.2485 115.7871 1 1 139
-6.58784 -0.8685218 -15.47825 3.133739 23.71863 11.6724 23.26232 21.65834 11.93409 8.049435 116.2325 112.2244 108.2164 118.2365 124.2485 120.2405 124.2485 124.2485 108.2164 117.3458 1 1 141
-8.184001 -0.9777298 -1.185236 -1.931819 10.12828 -1.604347 3.604351 3.48194 -13.35105 -1.113289 118.2365 108.2164 108.2164 108.2164 108.2164 124.2485 124.2485 114.2285 108.2164 113.5605 1 1 146
-7.288514 -7.122623 -9.849968 -14.57062 -30.65694 -22.24344 -13.88093 -31.79184 -24.38713 -17.97689 122.2445 122.2445 120.2405 122.2445 124.2485 124.2485 124.2485 124.2485 124.2485 123.1352 1 1 149
-26.26842 -3.012612 -14.0617 -20.73848 -13.21838 -3.196113 -22.71178 -7.627123 -6.938846 -13.08594 124.2485 124.2485 124.2485 124.2485 108.2164 114.2285 108.2164 108.2164 108.2164 116.0098 1 1 150
19.49658 -11.2822 -4.329794 -7.714853 -14.6264 -3.745555 -1.677101 -17.84908 -19.25179 -6.775576 124.2485 116.2325 124.2485 124.2485 108.2164 124.2485 108.2164 108.2164 108.2164 116.2325 1 1 155
