PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp emotion ID Trial
19.48194 21.76733 31.52478 38.39462 16.63121 22.78591 7.090264 7.845851 14.61264 20.01495 1 1 182
-8.62721 -5.611943 -10.31927 -9.735254 -8.010837 -3.796593 -11.42807 -5.241198 -1.561559 -7.147992 1 1 184
11.84841 2.03071 8.327529 11.04909 2.21697 7.078894 20.61481 7.307981 8.336969 8.756818 1 1 188
-9.713408 4.727739 4.937468 0.190616 8.353781 -14.29546 16.79461 -2.354841 27.39966 4.004462 1 1 193
-9.41348 -10.39295 -10.09458 -12.12705 10.75807 7.830893 2.982763 15.9592 4.671212 0.0193429 1 1 198
3.96108 2.305915 -1.123522 9.301888 -5.96853 16.65562 -15.14049 -10.2783 -9.168316 -1.050517 1 1 200
-3.368207 18.47432 2.61575 25.37276 -8.468812 8.276945 -23.5501 1.243474 -11.8691 0.9696701 1 1 203
-20.78776 16.31243 -15.23547 -5.802669 -14.95824 -1.906765 -32.06686 -7.361053 -5.006226 -9.645846 1 1 207
31.93808 -3.214046 7.33505 28.80844 42.27245 32.48235 27.98676 5.232476 -6.359523 18.498 2 1 1
38.23511 12.72623 27.70224 23.38063 31.35441 25.24365 38.8278 15.32337 18.61083 25.71159 2 1 7
46.04208 3.08008 25.34793 27.12594 33.18072 30.29479 51.8174 15.08484 8.484614 26.7176 2 1 9
17.25522 0.185926 11.80979 0.3885509 44.75455 8.374541 29.43345 13.63084 4.54757 14.48672 2 1 15
52.88011 8.819702 7.899661 39.92823 58.73171 51.09333 52.44796 42.29283 20.70381 37.1997 2 1 17
17.52431 -0.4353628 6.617157 13.63098 5.086217 -0.8098232 17.92478 1.666175 17.42681 8.736805 2 1 20
18.07138 19.12014 12.72279 33.63901 5.081147 14.49449 13.46374 3.230658 12.50001 14.7026 2 1 23
-4.583808 -4.89736 -16.88429 -18.07708 -12.35245 -7.347142 3.828102 -1.506089 -29.2796 -10.12219 2 1 26
27.78832 -9.109892 5.382681 14.83424 8.019139 10.77602 21.85734 -6.14973 -2.035232 7.929209 2 1 30
24.02268 2.252411 26.72232 20.9228 8.099316 16.02746 -2.826924 13.37907 8.385478 12.99829 2 1 32
22.69865 -13.23529 -2.978189 -9.309955 -17.50209 -8.389601 3.727424 -2.943849 -4.806551 -3.637716 2 1 36
21.26184 -25.00014 -0.9384483 -10.97525 20.75845 -8.483761 56.30042 -7.582408 16.23993 6.842293 2 1 44
10.88873 -10.69275 5.8811 -4.729314 29.81859 -6.713078 52.55749 14.3314 31.69672 13.67099 2 1 47
-9.901852 -7.94941 -2.909117 19.63172 -8.943096 -3.723023 -21.03401 -11.23717 -14.73305 -6.755445 2 1 48
20.77085 -7.987983 0.2480429 4.961453 6.29778 4.789974 21.6682 -3.114831 27.0845 8.301998 2 1 50
14.84092 14.6178 12.26157 19.50125 7.340404 1.510697 13.74856 11.62055 9.307316 11.63878 2 1 52
23.688 -7.618558 11.19015 9.480165 11.69776 0.2064939 25.31079 -0.2425761 6.460515 8.908081 2 1 59
37.77978 11.06858 9.009405 25.47941 13.84655 27.12748 19.03233 5.714918 -18.03284 14.5584 2 1 62
17.85745 -18.63245 -6.363145 -6.585312 -12.58729 -3.065125 21.72294 -14.74778 -8.337677 -3.415378 2 1 65
15.6316 -19.12489 -3.83534 -1.58754 16.5215 4.479541 35.40004 8.134219 29.56266 9.464644 2 1 69
14.15512 7.390416 11.94186 32.13541 30.04705 17.75971 22.19422 30.20826 11.83815 19.74113 2 1 72
-30.69487 2.713079 9.126044 18.23714 -7.894825 9.532541 -40.45842 -2.713364 -34.18784 -8.482281 2 1 73
