P7_amp TP7_amp CP5_amp ROI_GA_amp P7_lat TP7_lat CP5_lat ROI_GA_lat emotion ID Trial hem
-5.599259 -6.182704 -5.058167 -5.613377 204.4088 202.4048 208.4168 205.0768 2 1 9 1
5.632952 4.930055 17.97897 9.513993 218.4369 218.4369 218.4369 218.4369 2 1 15 1
-6.833938 -8.00527 1.523913 -4.438432 204.4088 204.4088 202.4048 203.7408 2 1 17 1
12.80958 11.32472 -0.2120364 7.974088 218.4369 218.4369 218.4369 218.4369 2 1 20 1
18.14306 19.7504 -19.7756 6.039285 210.4208 202.4048 218.4369 210.4208 2 1 23 1
5.279632 5.285353 1.654358 4.073114 210.4208 202.4048 202.4048 205.0768 2 1 26 1
-6.341578 -6.887189 4.210372 -3.006131 218.4369 218.4369 218.4369 218.4369 2 1 30 1
17.57634 17.05287 17.32544 17.31822 202.4048 202.4048 202.4048 202.4048 2 1 32 1
3.510751 3.151562 -7.438841 -0.2588428 208.4168 208.4168 218.4369 211.7569 2 1 36 1
-5.39176 -4.726383 -5.295974 -5.138039 202.4048 202.4048 202.4048 202.4048 2 1 44 1
4.185949 3.21473 19.89929 9.09999 202.4048 202.4048 202.4048 202.4048 2 1 47 1
-7.212155 -10.29033 28.44847 3.648661 214.4289 214.4289 216.4329 215.0969 2 1 48 1
1.073514 0.4545563 -3.098934 -0.5236212 202.4048 202.4048 202.4048 202.4048 2 1 50 1
13.58371 13.92324 4.433222 10.64672 202.4048 210.4208 218.4369 210.4208 2 1 52 1
-2.371715 -1.696435 10.27381 2.068554 202.4048 202.4048 202.4048 202.4048 2 1 59 1
6.327682 6.940927 -7.071939 2.065556 202.4048 202.4048 202.4048 202.4048 2 1 62 1
-3.447498 -3.03691 -1.269407 -2.584605 202.4048 202.4048 218.4369 207.7488 2 1 65 1
-17.41433 -17.64508 2.106091 -10.98444 216.4329 216.4329 218.4369 217.1009 2 1 69 1
10.43768 9.725934 1.870838 7.344816 218.4369 218.4369 214.4289 217.1009 2 1 72 1
-5.188331 -5.196398 2.628666 -2.585355 218.4369 218.4369 218.4369 218.4369 2 1 73 1
8.542437 8.842725 -9.555993 2.609723 202.4048 202.4048 202.4048 202.4048 2 1 79 1
-17.57617 -17.86764 -10.08532 -15.17638 218.4369 218.4369 216.4329 217.7689 2 1 81 1
8.050969 6.419106 13.47717 9.315748 206.4128 206.4128 218.4369 210.4208 2 1 82 1
-1.991908 -2.32708 6.318606 0.6665394 202.4048 202.4048 202.4048 202.4048 2 1 89 1
18.22444 18.16932 21.30656 19.23344 218.4369 218.4369 218.4369 218.4369 2 1 91 1
-0.3181144 0.7074174 -5.20284 -1.604513 210.4208 218.4369 212.4249 213.7608 2 1 95 1
-8.852764 -8.779853 -4.746943 -7.459854 202.4048 202.4048 218.4369 207.7488 2 1 97 1
1.218288 0.1681505 23.04988 8.145441 202.4048 202.4048 202.4048 202.4048 2 1 100 1
8.816365 8.085423 34.68526 17.19568 204.4088 206.4128 202.4048 204.4088 2 1 103 1
-7.785033 -7.185023 -15.12372 -10.03126 218.4369 218.4369 218.4369 218.4369 2 1 108 1
17.61607 17.36826 -0.4375468 11.51559 218.4369 218.4369 218.4369 218.4369 2 1 110 1
-8.391408 -8.849435 1.852412 -5.129477 218.4369 218.4369 216.4329 217.7689 2 1 115 1
6.806044 6.351269 3.321084 5.492799 202.4048 202.4048 218.4369 207.7488 2 1 116 1
10.18214 10.32167 -18.70128 0.6008472 214.4289 214.4289 202.4048 210.4208 2 1 124 1
-17.03063 -17.50027 -12.67085 -15.73391 218.4369 218.4369 214.4289 217.1009 2 1 127 1
-2.393004 -0.7074559 -1.500368 -1.533609 218.4369 218.4369 202.4048 213.0928 2 1 129 1
-14.47581 -15.17761 9.065428 -6.862664 202.4048 202.4048 202.4048 202.4048 2 1 131 1
-2.923776 -2.282198 -7.986193 -4.397389 202.4048 202.4048 202.4048 202.4048 2 1 136 1
-5.837533 -5.530541 -2.581485 -4.649853 202.4048 202.4048 202.4048 202.4048 2 1 143 1
-2.95472 -2.981003 7.146179 0.4034853 202.4048 202.4048 202.4048 202.4048 2 1 144 1
-0.2092525 -0.5517295 24.67434 7.971119 218.4369 218.4369 218.4369 218.4369 2 1 148 1
-6.760976 -6.845632 2.718855 -3.629251 214.4289 214.4289 218.4369 215.7649 2 1 152 1
-4.820288 -4.685999 -19.41764 -9.641311 202.4048 202.4048 202.4048 202.4048 2 1 154 1
