Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time emo
0.2563264 0.4495453 -0.1405177 -0.3714287 -0.3493506 -0.3901202 -0.2053306 -0.2552022 -0.2898764 -0.4621505 -0.1221639 -0.2423966 -0.3336786 -0.3728714 -0.1542294 -0.113061 -0.606424 0.02726916 -0.0604135 -0.04795378 -0.3746988 0.0278189 -0.2142389 0.4670713 0.2090376 0.3725039 -0.4325323 -0.1053061 -0.00893899 0.3505588 0.6285718 0.3159307 0.6464397 -0.04709264 0.04263769 0.3220175 0.7126949 0.08744571 -0.02703855 0.1996449 -180.3607 1
0.2769904 0.3828691 -0.1293485 -0.4063834 -0.34778 -0.3725237 -0.206137 -0.2553235 -0.2230508 -0.4504007 -0.09164562 -0.2925932 -0.3137163 -0.3681087 -0.1636712 -0.1176782 -0.6120765 0.05748223 -0.09892828 -0.0151218 -0.3720897 0.0437016 -0.2643844 0.5070272 0.138844 0.422187 -0.392938 -0.1372471 0.06296828 0.3015768 0.7119625 0.2293352 0.6721623 -0.06978378 0.09525777 0.2795609 0.7475222 0.04265705 -0.0005945461 0.167771 -178.3567 1
0.2231507 0.2452983 -0.1234354 -0.4309346 -0.3425833 -0.3652847 -0.1975944 -0.2509604 -0.1813887 -0.4373813 -0.03330128 -0.3419254 -0.25655 -0.3563645 -0.1747797 -0.1262867 -0.6183364 0.07363077 -0.1433289 0.04770577 -0.3737806 0.05174539 -0.3164823 0.5637649 0.07040299 0.4856267 -0.3588422 -0.175283 0.1338244 0.2559755 0.799497 0.1648031 0.7463127 -0.08956449 0.1639558 0.2337597 0.7797587 -0.01730488 0.03646008 0.1312853 -176.3527 1
0.2989887 0.161934 -0.09774122 -0.43195 -0.3349104 -0.365486 -0.1860011 -0.2231511 -0.1830068 -0.4527646 0.04435655 -0.3579428 -0.1909828 -0.3699635 -0.1975803 -0.1346618 -0.6262155 0.0809541 -0.1765239 0.1018951 -0.3825335 0.04239137 -0.3648279 0.6089789 0.0117333 0.5286358 -0.3349906 -0.2237091 0.1747887 0.2016864 0.858435 0.1078252 0.8238107 -0.1215934 0.227757 0.1784527 0.7828093 -0.08406607 0.06937544 0.09886796 -174.3487 1
0.3138677 0.08984343 -0.05117794 -0.379162 -0.3305311 -0.3660917 -0.1674956 -0.1860793 -0.2232688 -0.4885033 0.1180177 -0.3465253 -0.1696624 -0.3741506 -0.2219085 -0.1445616 -0.6310135 0.07590075 -0.2034449 0.1321086 -0.3946117 0.02149582 -0.3983357 0.6423483 -0.0149189 0.5582342 -0.3097399 -0.2535243 0.2043115 0.1538069 0.8831701 0.06176418 0.8697067 -0.1363205 0.2854862 0.1437357 0.7560894 -0.1424239 0.1069616 0.08407088 -172.3447 1
0.1323568 -0.0429141 -0.02159603 -0.3061711 -0.3165621 -0.3662705 -0.1586242 -0.1700212 -0.2802594 -0.532173 0.1623282 -0.3278798 -0.2020765 -0.3442825 -0.2360829 -0.137915 -0.6291283 0.07098188 -0.2248836 0.1387873 -0.3976941 0.00800998 -0.41171 0.6784737 -0.01335205 0.5966669 -0.2800276 -0.2527555 0.2474042 0.1305362 0.9265095 0.02878685 0.9177791 -0.1172593 0.3287136 0.1398091 0.7554888 -0.178956 0.1309125 0.09122597 -170.3407 1
0.1132119 -0.0604955 -0.01019037 -0.262657 -0.3022929 -0.3854304 -0.19505 -0.1569925 -0.3536288 -0.5635707 0.1632129 -0.3099013 -0.2753202 -0.3321753 -0.2404793 -0.1213631 -0.6210204 0.08764248 -0.2221114 0.1067992 -0.3783762 0.01277945 -0.4122968 0.6995882 0.003045968 0.6074886 -0.2348916 -0.2400014 0.2739092 0.1175378 0.9145536 -0.01463843 0.8859192 -0.09329943 0.3967044 0.1417183 0.7060763 -0.1800798 0.1886204 0.1130345 -168.3367 1
0.09123254 -0.05329821 -0.01593899 -0.2668201 -0.2638519 -0.4002827 -0.2372798 -0.1522431 -0.4439084 -0.5497569 0.1302138 -0.2908973 -0.3495829 -0.317366 -0.2257868 -0.08939027 -0.6174416 0.1168306 -0.2032483 0.04579299 -0.341056 0.04100936 -0.4013579 0.712524 0.02098712 0.6151016 -0.1870104 -0.2129211 0.289375 0.1063328 0.9289198 -0.06483989 0.8641354 -0.07296305 0.4221772 0.1340901 0.6968669 -0.1775969 0.2057849 0.1205536 -166.3327 1
0.08551146 -0.01802105 -0.03539175 -0.300895 -0.2073711 -0.4154562 -0.2523631 -0.1538595 -0.5454027 -0.5115522 0.04962788 -0.2735523 -0.4136766 -0.2702289 -0.189065 -0.05206518 -0.6090841 0.1534393 -0.1919638 -0.04607426 -0.2867233 0.08960166 -0.391274 0.7235674 0.03343589 0.6143172 -0.1384179 -0.1751394 0.2922293 0.09625313 0.919695 -0.0960426 0.8071843 -0.04674444 0.4458011 0.1337972 0.676637 -0.1902326 0.2111771 0.1070443 -164.3287 1
0.09211721 0.01841044 -0.0640482 -0.3044252 -0.1222943 -0.4257821 -0.2328131 -0.1581324 -0.6083834 -0.4541723 -0.05819948 -0.2509636 -0.4296265 -0.2304815 -0.1316952 -0.008737115 -0.5739909 0.1875273 -0.2015188 -0.1568715 -0.2203771 0.1433776 -0.3886678 0.7322523 0.02995731 0.6026357 -0.09937947 -0.1363989 0.2978971 0.0857048 0.898156 -0.1157393 0.7354531 -0.01801964 0.4374458 0.1174794 0.6530038 -0.2182651 0.1821829 0.07497863 -162.3246 1
